219
11868	12226	1	0	0
12009	12056	1	1	1
12178	12226	1	1	1
12612	12696	1	1	1
12612	12720	1	0	0
12974	13051	1	1	1
13220	13373	1	1	1
13220	14408	1	0	0
13452	13669	1	1	1
14403	14500	2	2	2
15004	15037	2	2	2
15795	15946	2	2	2
16606	16764	2	2	2
16857	17054	2	2	2
17232	17367	2	2	2
17368	17435	2	3	3
17605	17741	2	2	2
17914	18060	2	2	2
18267	18365	2	2	2
24737	24890	2	2	2
29533	29569	2	2	2
29553	30038	1	4	4
30266	30666	1	4	5
30365	30502	1	5	6
30563	30666	1	4	4
30975	31096	1	4	4
30975	31108	1	4	5
34553	35173	2	6	7
35244	35480	2	6	8
35276	35480	2	6	7
35720	36072	2	6	8
35720	36080	2	6	7
52472	53311	1	7	9
57597	57652	1	8	10
58699	58855	1	8	10
62915	64115	1	8	10
62948	63886	1	9	11
65418	65432	1	10	12
65519	65572	1	10	12
69036	71584	1	10	12
89294	91628	2	11	13
89550	90049	2	12	18
90286	91104	2	12	18
92090	92239	2	11	13
92229	92239	2	11	14
110952	111356	2	11	15
112699	112803	2	11	13
112699	112803	2	11	14
112699	112803	2	11	15
120720	120931	2	11	14
120724	120868	2	11	16
120774	120931	2	11	13
120873	120931	2	11	16
129054	129172	2	11	15
129054	129216	2	11	14
129054	129222	2	11	16
129080	129222	2	11	17
131024	134835	1	13	19
133373	133565	2	11	17
133373	133722	2	11	16
135140	135894	2	14	20
137681	137964	2	15	21
139789	139846	2	16	22
140074	140338	2	16	22
141473	143010	2	17	23
142807	143010	2	17	24
146385	146508	2	17	24
146385	146508	2	17	25
146385	149706	2	17	23
146641	146830	2	17	24
155766	155830	2	17	25
157783	157886	2	18	29
160445	160689	1	19	30
161313	161524	1	19	30
164262	164790	2	17	25
165490	165941	2	17	26
165883	165941	2	17	25
165888	165941	2	17	27
167128	168164	2	17	28
167958	168164	2	17	26
168099	168164	2	17	25
168099	168164	2	17	27
168609	168766	2	17	27
169048	169209	2	17	26
169048	169239	2	17	28
169048	169263	2	17	25
172556	172687	2	17	25
173752	173861	2	17	25
182695	182745	1	20	31
183131	183215	1	20	31
183493	183570	1	20	31
183739	183900	1	20	31
183980	184173	1	20	31
185216	185349	2	21	32
185490	185558	2	21	32
186316	186468	2	21	32
187128	187286	2	21	32
187375	187576	2	21	32
187754	187889	2	21	32
187890	187957	2	22	33
188129	188265	2	21	32
188438	188583	2	21	32
188790	188901	2	21	32
195262	195410	2	21	32
257863	259024	2	23	34
257912	259024	2	23	35
258143	259024	2	23	36
258523	259024	2	23	37
258567	259023	2	23	38
261549	261633	2	23	35
263014	268203	2	23	39
264603	264732	2	23	34
266854	267055	1	24	40
267302	268203	2	23	35
267302	268203	2	23	37
268121	268654	1	24	40
268666	268815	2	23	35
268666	268815	2	23	37
268666	268815	2	23	39
289265	289369	2	23	39
297344	297501	2	23	39
347981	348365	2	25	41
356684	357585	2	23	36
358048	358182	2	23	36
358856	358928	1	26	42
358871	358956	1	26	43
359344	359680	2	23	36
360056	360167	1	26	44
365170	365509	1	26	43
365170	365703	1	26	42
365170	366051	1	26	44
365388	365691	2	27	45
365394	365691	2	27	46
365614	365691	2	27	47
366018	366150	2	27	45
368250	368449	2	27	46
373143	373322	2	27	47
373181	373322	2	27	48
379768	379869	2	27	48
379768	379971	2	27	47
439869	440231	1	28	69
450739	451677	2	29	70
476363	476944	2	27	49
484831	485207	2	27	50
485025	485207	2	30	71
485039	485207	2	27	48
485039	485207	2	27	49
485065	485207	2	27	51
487100	489386	1	31	72
489360	489552	2	27	51
489716	489905	1	31	72
491224	491988	2	32	73
492767	493240	2	32	73
494381	494585	2	27	52
494463	494897	2	27	53
494474	494897	2	27	54
494610	494897	2	27	55
494770	494897	2	27	56
494991	495048	2	27	50
494991	495048	2	27	53
494991	495048	2	27	54
494991	495048	2	27	55
494991	495048	2	27	56
495276	495367	2	27	54
495276	495475	2	27	50
496263	496604	2	27	52
497108	497258	2	27	49
497108	497298	2	27	53
497108	497298	2	27	56
497133	497298	2	27	57
497204	497227	2	27	58
497209	497298	2	27	59
497239	497298	2	27	60
497244	497298	2	27	61
497274	497298	2	27	62
498046	498304	2	27	60
498072	498304	2	27	57
498072	498304	2	27	58
498072	498304	2	27	61
498280	498304	2	27	63
498398	498455	2	27	56
498398	498455	2	27	57
498398	498455	2	27	58
498398	498455	2	27	59
498398	498455	2	27	60
498398	498455	2	27	61
498398	498455	2	27	63
498398	498975	2	27	62
498683	498975	2	27	56
498683	499001	2	27	60
498683	499174	2	27	55
498683	499174	2	27	63
498983	499368	2	27	64
501555	501606	2	27	64
501555	501619	2	27	53
501555	501619	2	27	58
501555	501619	2	27	59
501555	501619	2	27	61
501587	501619	2	27	65
501603	501619	2	27	66
502186	502242	2	27	58
502464	502507	2	27	53
502464	502597	2	27	58
502464	502597	2	27	61
502464	502660	2	27	66
502464	502872	2	27	59
502861	502954	2	27	65
504469	504932	2	27	67
504864	505102	2	27	68
504979	505102	2	27	65
504979	505102	2	27	66
514358	514412	2	27	67
514358	514422	2	27	65
514358	514422	2	27	66
514358	514422	2	27	68
517155	517224	2	27	66
517184	517251	2	27	65
517184	517265	2	27	68
522858	522927	2	27	68
