"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "NS.2108.003.UDP0201_i7...UDP0201_i5.RNA_0006_5598_Tumeur_R1" "NS.2108.003.UDP0202_i7...UDP0202_i5.RNA_0009_5268_Sain_R1" "NS.2108.003.UDP0203_i7...UDP0203_i5.RNA_0010_5268_Tumeur_R1" "NS.2108.003.UDP0204_i7...UDP0204_i5.RNA_0011_5402_Sain_R1" "NS.2108.003.UDP0205_i7...UDP0205_i5.RNA_0012_5402_Tumeur_R1" "NS.2108.003.UDP0206_i7...UDP0206_i5.RNA_0017_5487_Sain_R1" "NS.2108.003.UDP0207_i7...UDP0207_i5.RNA_0018_5487_Tumeur_R1"
"DFFB" 0 0 0 0 0 0 0 0
"C1orf174" 0 0 0 0 0 0 0 0
"LINC01134" 0 0 0 0 0 0 0 0
"AJAP1" 0 0 0 0 0 0 0 0
"NPHP4" 0 0 0 0 0 0 0 0
"KCNAB2" 0 0 0 0 0 0 0 0
"CHD5" 0 0 0 0 0 0 0 0
"RPL22" 0 0 0 0 0 0 0 0
"RNF207-AS1" 0 0 0 0 0 0 0 0
"RNF207" 0 0 0 0 0 0 0 0
"ICMT" 0 0 0 0 0 0 0 0
"ICMT-DT" 0 0 0 0 0 0 0 0
"GPR153" 0 0 0 0 0 0 0 0
"ACOT7" 0 0 0 0 0 0 0 0
"HES2" 0 0 0 0 0 0 0 0
"ESPN" 0 0 0 0 0 0 0 0
"TNFRSF25" 0 0 0 0 0 0 0 0
"PLEKHG5" 0 0 0 0 0 0 0 0
"NOL9" 0 0 0 0 0 0 0 0
"TAS1R1" 0 0 0 0 0 0 0 0
"ZBTB48" 0 0 0 0 0 0 0 0
"KLHL21" 0 0 0 0 0 0 0 0
"PHF13" 0 0 0 0 0 0 0 0
"THAP3" 0 0 0 0 0 0 0 0
"DNAJC11" 0 0 0 0 0 0 0 0
"CAMTA1-DT" 0 0 0 0 0 0 0 0
"CAMTA1" 0 0 0 0 0 0 0 0
"VAMP3" 0 0 0 0 0 0 0 0
"PER3" 0 0 0 0 0 0 0 0
"UTS2" 0 0 0 0 0 0 0 0
"TNFRSF9" 0 0 0 0 0 0 0 0
"PARK7" 0 0 0 0 0 0 0 0
"ERRFI1" 0 0 0 0 0 0 0 0
"ERRFI1-DT" 0 0 0 0 0 0 0 0
"LINC01714" 0 0 0 0 0 0 0 0
"SLC45A1" 0 0 0 0 0 0 0 0
