"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "NS.2108.003.UDP0201_i7...UDP0201_i5.RNA_0006_5598_Tumeur_R1" "NS.2108.003.UDP0202_i7...UDP0202_i5.RNA_0009_5268_Sain_R1" "NS.2108.003.UDP0203_i7...UDP0203_i5.RNA_0010_5268_Tumeur_R1" "NS.2108.003.UDP0204_i7...UDP0204_i5.RNA_0011_5402_Sain_R1" "NS.2108.003.UDP0205_i7...UDP0205_i5.RNA_0012_5402_Tumeur_R1" "NS.2108.003.UDP0206_i7...UDP0206_i5.RNA_0017_5487_Sain_R1" "NS.2108.003.UDP0207_i7...UDP0207_i5.RNA_0018_5487_Tumeur_R1"
"DTWD1P2" 0 0 0 0 0 0 0 0
"PLCH1-AS1" 0 0 0 0 0 0 0 0
"RPL6P7" 0 0 0 0 0 0 0 0
"C3orf33" 0 0 0 0 0 0 0 0
"SLC33A1" 0 0 0 0 0 0 0 0
"GMPS" 0 0 0 0 0 0 0 0
"SETP14" 0 0 0 0 0 0 0 0
"KCNAB1" 0 0 0 0 0 0 0 0
"SSR3" 0 0 0 0 0 0 0 0
"TIPARP-AS1" 0 0 0 0 0 0 0 0
"TIPARP" 0 0 0 0 0 0 0 0
"METTL15P1" 0 0 0 0 0 0 0 0
"LINC00886" 0 0 0 0 0 0 0 0
"PA2G4P4" 0 0 0 0 0 0 0 0
"LEKR1" 0 0 0 0 0 0 0 0
"LINC00880" 0 0 0 0 0 0 0 0
"LINC02029" 0 0 0 0 0 0 0 0
"LINC00881" 0 0 0 0 0 0 0 0
"CCNL1" 0 0 0 0 0 0 0 0
"KRT18P34" 0 0 0 0 0 0 0 0
"PCBP2P4" 0 0 0 0 0 0 0 0
"VEPH1" 0 0 0 0 0 0 0 0
"PTX3" 0 0 0 0 0 0 0 0
"SLC66A1L" 0 0 0 0 0 0 0 0
"SHOX2" 0 0 0 0 0 0 0 0
"RSRC1" 0 0 0 0 0 0 0 0
"MLF1-DT" 0 0 0 0 0 0 0 0
"MLF1" 0 0 0 0 0 0 0 0
"GFM1" 0 0 0 0 0 0 0 0
"LXN" 0 0 0 0 0 0 0 0
"RARRES1" 0 0 0 0 0 0 0 0
"MFSD1" 0 -1 0 0 0 0 0 0
"RPL35AP9" 0 0 0 0 0 0 0 0
"IQCJ-SCHIP1" 0 -1 0 0 0 0 0 0
"IQCJ-SCHIP1-AS1" 0 -1 0 0 0 0 0 0
"SCHIP1" 0 -1 0 0 0 0 0 0
"IL12A-AS1" 0 -1 0 0 0 0 0 0
"IL12A" 0 -1 0 0 0 0 0 0
"BRD7P2" 0 -1 0 0 0 0 0 0
"C3orf80" 0 -1 0 0 0 0 0 0
"IFT80" 0 -1 0 0 0 0 0 0
"SMC4" 0 -1 0 0 0 0 0 0
"TRIM59" 0 -1 0 0 0 0 0 0
"B3GAT3P1" 0 -1 0 0 0 0 0 0
"KPNA4" 0 -1 0 0 0 0 0 0
"SCARNA7" 0 -1 0 0 0 0 0 0
"KRT8P12" 0 -1 0 0 0 0 0 0
"ARL14" 0 -1 0 0 0 0 0 0
"PPM1L-DT" 0 -1 0 0 0 0 0 0
"PPM1L" 0 -1 0 0 0 0 0 0
"B3GALNT1" 0 0 0 0 0 0 0 0
"NMD3" 0 0 0 0 0 0 0 0
"SPTSSB" 0 0 0 0 0 0 0 0
"LINC02067" 0 0 0 0 0 0 0 0
"RPL23AP42" 0 0 0 0 0 0 0 0
"SLITRK3" 0 0 0 0 0 0 0 0
"LINC01322" 0 0 0 0 0 0 0 0
"BCHE" 0 0 0 0 0 0 0 0
"PPIAP74" 0 0 0 0 0 0 0 0
"ZBBX" 0 0 0 0 0 0 0 0
"SERPINI2" 0 0 0 0 0 0 0 0
"WDR49" 0 0 0 0 0 0 0 0
"PDCD10" 0 0 0 0 0 0 0 0
"SERPINI1" 0 0 0 0 0 0 0 0
"LRRC77P" 0 0 0 0 0 0 0 0
"GOLIM4" 0 0 0 0 0 0 0 0
"EGFEM1P" 0 0 0 -1 0 0 0 0
"LINC02082" 0 0 0 -1 0 0 0 0
"MECOM" 0 0 0 -1 0 0 0 0
"MECOM-AS1" 0 0 0 -1 0 0 0 0
"RPL22P1" 0 0 0 -1 0 0 0 0
"TERC" 0 0 0 -1 0 0 0 0
"ACTRT3" 0 0 0 -1 0 0 0 0
"MYNN" 0 0 0 -1 0 0 0 0
"LRRC34" 0 0 0 -1 0 0 0 0
"LRRIQ4" 0 0 0 -1 0 0 0 0
"LRRC31" 0 0 0 -1 0 0 0 0
"FHL1P1" 0 0 0 -1 0 0 0 0
"SEC62" 0 0 0 -1 0 0 0 0
"SEC62-AS1" 0 0 0 -1 0 0 0 0
"GPR160" 0 0 0 -1 0 0 0 0
"KMT5AP3" 0 0 0 -1 0 0 0 0
"PHC3" 0 0 0 0 0 0 0 0
"PRKCI" 0 0 0 0 0 0 0 0
"SKIL" 0 0 0 0 0 0 0 0
"CLDN11" 0 0 0 0 0 0 0 0
"SLC7A14-AS1" 0 0 0 0 0 0 0 0
"RPL22L1" 0 0 0 0 0 0 0 0
"EIF5A2" 0 0 0 0 0 0 0 0
"TNIK" 0 0 0 0 0 0 0 0
"PLD1" 0 0 0 0 0 0 0 0
"TMEM212" 0 0 0 0 0 0 0 0
"FNDC3B" 0 0 0 0 0 0 0 0
"TNFSF10" 0 0 0 0 0 0 0 0
"LINC02068" 0 0 0 0 0 0 0 0
"SLC31A1P1" 0 0 0 0 0 0 0 0
"NCEH1" 0 0 0 0 0 0 0 0
"ECT2" 0 0 0 0 0 0 0 0
"ATP5MC1P4" 0 0 0 0 0 0 0 0
"NLGN1" 0 0 0 0 0 0 0 0
"RPL8P4" 0 0 0 0 0 0 0 0
"NAALADL2" 0 0 0 0 0 0 0 0
"UBE2V1P2" 0 0 0 0 0 0 0 0
"ACTG1P23" 0 0 0 0 0 0 0 0
"TBL1XR1" 0 0 0 0 0 0 0 0
"LINC00501" 0 0 0 0 0 0 0 0
"LINC00578" 0 0 0 0 0 0 0 0
"FGFR3P4" 0 0 0 0 0 0 0 0
"LINC02015" 0 0 0 0 0 0 0 0
"KCNMB2" 0 0 0 0 0 0 0 0
"LINC01014" 0 0 0 0 0 0 0 0
"KCNMB2-AS1" 0 0 0 0 0 0 0 0
"ZMAT3" 0 0 0 0 0 0 0 0
"PIK3CA" 0 0 0 0 0 0 0 0
"KCNMB3" 0 0 0 0 0 0 0 0
"LRRFIP1P1" 0 0 0 0 0 0 0 0
"ZNF639" 0 0 0 0 0 0 0 0
"MFN1" 0 0 0 0 0 0 0 0
"GNB4" 0 0 0 0 0 0 0 0
"ACTL6A" 0 0 0 0 0 0 0 0
"MRPL47" 0 0 0 0 0 0 0 0
"NDUFB5" 0 0 0 0 0 0 0 0
"USP13" 0 0 0 0 0 0 0 0
"PEX5L" 0 0 0 0 0 0 0 0
"TTC14" 0 0 0 0 0 0 0 0
"CCDC39" 0 0 0 0 0 0 0 0
"RNF13P1" 0 0 0 0 0 0 0 0
"FXR1" 0 0 0 0 0 0 0 0
"DNAJC19" 0 0 0 0 0 0 0 0
"SOX2-OT" 0 0 0 0 0 0 0 0
"SOX2" 0 0 0 0 0 0 0 0
"ATP11B" 0 0 0 0 0 0 0 0
"DCUN1D1" 0 0 0 0 0 0 0 0
"C9orf85P2" 0 0 0 0 0 0 0 0
"MCCC1" 0 0 0 0 0 0 0 0
"MCCC1-AS1" 0 0 0 0 0 0 0 0
"LAMP3" 0 0 0 0 0 0 0 0
"MCF2L2" 0 0 0 0 0 0 0 0
"B3GNT5" 0 0 0 0 0 0 0 0
"LINC00888" 0 0 0 0 0 0 0 0
"SNORA63E" 0 0 0 0 0 0 0 0
"KLHL6" 0 0 0 0 0 0 0 0
"PRICKLE1P1" 0 0 0 0 0 0 0 0
"KLHL24" 0 0 0 0 0 0 0 0
"YEATS2" 0 0 0 0 0 0 0 0
"YEATS2-AS1" 0 0 0 0 0 0 0 0
"MAP6D1" 0 0 0 0 0 0 0 0
"PARL" 0 0 0 0 0 0 0 0
"ABCC5" 0 0 0 0 0 0 0 0
"EEF1A1P8" 0 0 0 0 0 0 0 0
"HTR3C" 0 0 0 0 0 0 0 0
"HSP90AA5P" 0 0 0 0 0 0 0 0
"EIF2B5-DT" 0 0 0 0 0 0 0 0
"EIF2B5" 0 0 0 0 0 0 0 0
"RPS3P3" 0 0 0 0 0 0 0 0
"DVL3" 0 0 0 0 0 0 0 0
"AP2M1" 0 0 0 0 0 0 0 0
"ABCF3" 0 0 0 0 0 0 0 0
"VWA5B2" 0 0 0 0 0 0 0 0
"ALG3" 0 0 0 0 0 0 0 0
"EEF1AKMT4" 0 0 0 0 0 0 0 0
"EEF1AKMT4-ECE2" 0 0 0 0 0 0 0 0
"CAMK2N2" 0 0 0 0 0 0 0 0
"PSMD2" 0 0 0 0 0 0 0 0
"EIF4G1" 0 0 0 0 0 0 0 0
"FAM131A" 0 0 0 0 0 0 0 0
"CLCN2" 0 0 0 0 0 0 0 0
"POLR2H" 0 0 0 0 0 0 0 0
"THPO" 0 0 0 0 0 0 0 0
"CHRD" 0 0 0 0 0 0 0 0
"TEDDM3P" 0 0 0 0 0 0 0 0
"LINC01839" 0 0 0 0 0 0 0 0
"EPHB3" 0 0 0 0 0 0 0 0
"MAGEF1" 0 0 0 0 0 0 0 0
"LINC02069" 0 0 0 0 0 0 0 0
"VPS8" 0 0 0 0 0 0 0 0
"C3orf70" 0 0 0 0 0 0 0 0
"EHHADH-AS1" 0 0 0 0 0 0 0 0
"EHHADH" 0 0 0 0 0 0 0 0
"MAP3K13" 0 0 0 0 0 0 0 0
"RPL4P4" 0 0 0 0 0 0 0 0
"TMEM41A" 0 0 0 0 0 0 0 0
"LIPH" 0 0 0 0 0 0 0 0
"SENP2" 0 0 0 0 0 0 0 0
"IGF2BP2" 0 0 0 0 0 0 0 0
"TRA2B" 0 0 0 0 0 0 0 0
"NMRAL2P" 0 0 0 0 0 0 0 0
"ETV5" 0 0 0 0 0 0 0 0
"ETV5-AS1" 0 0 0 0 0 0 0 0
"DGKG" 0 0 0 0 0 0 0 0
"CRYGS" 0 0 0 0 0 0 0 0
"TBCCD1" 0 0 0 0 0 0 0 0
"DNAJB11" 0 0 0 0 0 0 0 0
"PET100P1" 0 0 0 0 0 0 0 0
"HRG" 0 0 0 0 0 0 0 0
"KNG1" 0 0 0 0 0 0 0 0
"PSMD10P2" 0 0 0 0 0 0 0 0
"EIF4A2" 0 0 0 0 0 0 0 0
"SNORD2" 0 0 0 0 0 0 0 0
"SNORA63B" 0 0 0 0 0 0 0 0
"SNORA81" 0 0 0 0 0 0 0 0
"SNORA63" 0 0 0 0 0 0 0 0
"SNORA4" 0 0 0 0 0 0 0 0
"RFC4" 0 0 0 0 0 0 0 0
"LINC02043" 0 0 0 0 0 0 0 0
"RPS20P14" 0 0 0 0 0 0 0 0
"ST6GAL1" 0 0 0 0 0 0 0 0
"RPL39L" 0 0 0 0 0 0 0 0
"MASP1" 0 0 0 0 0 0 0 0
"RTP4" 0 0 0 0 0 0 0 0
"LINC02041" 0 0 0 0 0 0 0 0
"BCL6" 0 0 0 0 0 0 0 0
"LINC01991" 0 0 0 0 0 0 0 0
"LPP-AS2" 0 0 0 0 0 0 0 0
"LPP" 0 0 0 0 0 0 0 0
"TPRG1-AS1" 0 0 0 0 0 0 0 0
"TPRG1" 0 0 0 0 0 0 0 0
"ENOPH1P1" 0 0 0 0 0 0 0 0
"TPRG1-AS2" 0 0 0 0 0 0 0 0
"TP63" 0 0 0 0 0 0 0 0
"P3H2" 0 0 0 0 0 0 0 0
"P3H2-AS1" 0 0 0 0 0 0 0 0
"CLDN1" 0 0 0 0 0 0 0 0
"CLDN16" 0 0 0 0 0 0 0 0
"IL1RAP" 0 0 0 0 0 0 0 0
"RN7SKP296" 0 0 0 0 0 0 0 0
"LINC02013" 0 0 0 0 0 0 0 0
"GMNC" 0 0 0 0 0 0 0 0
"OSTN" 0 0 0 0 0 0 0 0
"OSTN-AS1" 0 0 0 0 0 0 0 0
"UTS2B" 0 0 0 0 0 0 0 0
"CCDC50" 0 0 0 0 0 0 0 0
"FGF12" 0 0 0 0 0 0 0 0
"MB21D2" 0 0 0 0 0 0 0 0
"PLAAT1" 0 0 0 0 0 0 0 0
"ATP13A5" 0 0 0 0 0 0 0 0
"ATP13A4" 0 0 0 0 0 0 0 0
"ATP13A4-AS1" 0 0 0 0 0 0 0 0
"EEF1A1P23" 0 0 0 0 0 0 0 0
"OPA1" 0 0 0 0 0 0 0 0
"LINC02038" 0 0 0 0 0 0 0 0
"LINC02026" 0 0 0 0 0 0 0 0
"LINC02028" 0 0 0 0 0 0 0 0
"LINC02924" 0 0 0 0 0 0 0 0
"HES1" 0 0 0 0 0 0 0 0
"LINC02036" 0 0 0 0 0 0 0 0
"LINC02048" 0 0 0 0 0 0 0 0
"LINC00887" 0 0 0 0 0 0 0 0
"CPN2" 0 0 0 0 0 0 0 0
"LRRC15" 0 0 0 0 0 0 0 0
"GP5" 0 0 0 0 0 0 0 0
"ATP13A3" 0 0 0 0 0 0 0 0
"ATP13A3-DT" 0 0 0 0 0 0 0 0
"TMEM44-AS1" 0 0 0 0 0 0 0 0
"TMEM44" 0 0 0 0 0 0 0 0
"TMEM44-AS2" 0 0 0 0 0 0 0 0
"LSG1" 0 0 0 0 0 0 0 0
"FAM43A" 0 0 0 0 0 0 0 0
"XXYLT1" 0 0 0 0 0 0 0 0
"XXYLT1-AS2" 0 0 0 0 0 0 0 0
"ACAP2" 0 0 0 0 0 0 0 0
"ACAP2-IT1" 0 0 0 0 0 0 0 0
"PPP1R2" 0 0 0 0 0 0 0 0
"RNU6ATAC24P" 0 0 0 0 0 0 0 0
"RPL24P6" 0 0 0 0 0 0 -1 0
"APOD" 0 0 0 0 0 0 -1 0
"MUC20P1" 0 0 0 0 0 0 -1 0
"PPP4R2P6" 0 0 0 0 0 0 -1 0
"MUC20-OT1" 0 0 0 0 0 0 -1 0
"SDHAP2" 0 0 0 0 0 0 -1 0
"MIR570" 0 0 0 0 0 0 -1 0
"SMBD1P" 0 0 0 0 0 0 -1 0
"MUC20" 0 0 0 0 0 0 -1 0
"MUC4" 0 0 0 0 0 0 -1 0
"LINC01983" 0 0 0 0 0 0 -1 0
"KIF3AP1" 0 0 0 0 0 0 -1 0
"TNK2" 0 0 0 0 0 0 -1 0
"TNK2-AS1" 0 0 0 0 0 0 -1 0
"RNU2-11P" 0 0 0 0 0 0 -1 0
"PPP4R2P2" 0 0 0 0 0 0 -1 0
"SDHAP1" 0 0 0 0 0 0 -1 0
"PPP4R2P3" 0 0 0 0 0 0 -1 0
"TFRC" 0 0 0 0 0 0 -1 0
"ARL8BP1" 0 0 0 0 0 0 -1 0
"LINC00885" 0 0 0 0 0 0 -1 0
"ZDHHC19" 0 0 0 0 0 0 -1 0
"SLC51A" 0 0 0 0 0 0 -1 0
"PCYT1A" 0 0 0 0 0 0 -1 0
"DYNLT2B" 0 0 0 0 0 0 0 0
"TM4SF19-DYNLT2B" 0 0 0 0 0 0 0 0
"TM4SF19-AS1" 0 0 0 0 0 0 0 0
"TM4SF19" 0 0 0 0 0 0 0 0
"UBXN7" 0 0 0 0 0 0 0 0
"RN7SL738P" 0 0 0 0 0 0 0 0
"UBXN7-AS1" 0 0 0 0 0 0 0 0
"RNF168" 0 0 0 0 0 0 0 0
"RPS29P3" 0 0 0 0 0 0 0 0
"WDR53" 0 0 0 0 0 0 0 0
"FBXO45" 0 0 0 0 0 0 0 0
"LINC01063" 0 0 0 0 0 0 0 0
"NRROS" 0 0 0 0 0 0 0 0
"PIGX" 0 0 0 0 0 0 0 0
"CEP19" 0 0 0 0 0 0 0 0
"PAK2" 0 0 0 0 0 0 0 0
"SENP5" 0 0 0 0 0 0 0 0
"NCBP2" 0 0 0 0 0 0 0 0
"NCBP2-AS1" 0 0 0 0 0 0 0 0
"NCBP2AS2" 0 0 0 0 0 0 0 0
"PIGZ" 0 0 0 0 0 0 0 0
"MELTF" 0 0 0 0 0 0 0 0
"RPSAP69" 0 0 0 0 0 0 0 0
"MELTF-AS1" 0 0 0 0 0 0 0 0
"DLG1" 0 0 0 0 0 0 0 0
"DLG1-AS1" 0 0 0 0 0 0 0 0
"LINC02012" 0 0 0 0 0 0 0 0
"BDH1" 0 0 0 0 0 0 0 0
"RPL36P7" 0 0 0 0 0 0 0 0
"SDHAP4" 0 0 0 0 0 0 0 0
"PPP4R2P4" 0 0 0 0 0 0 0 0
"RUBCN" 0 0 0 0 0 0 0 0
"FYTTD1" 0 0 0 0 0 0 0 0
"LRCH3" 0 0 0 0 0 0 0 0
"RPL17P18" 0 0 0 0 0 0 0 0
"IQCG" 0 0 0 0 0 0 0 0
"RPL35A" 0 0 0 0 0 0 0 0
"LMLN" 0 0 0 0 0 0 0 0
"ANKRD18DP" 0 0 0 0 0 0 0 0
"ZNF595" 0 0 0 1 0 0 0 0
"ZNF718" 0 0 0 1 0 0 0 0
"ZNF876P" 0 0 0 1 0 0 0 0
"ZNF732" 0 0 0 1 0 0 0 0
"ZNF141" 0 0 0 1 0 0 0 0
"ABCA11P" 0 0 0 0 0 0 0 0
"ZNF721" 0 0 0 0 0 0 0 0
"PIGG" 0 0 0 0 0 0 0 0
"PDE6B" 0 0 0 0 0 0 0 0
"PDE6B-AS1" 0 0 0 0 0 0 0 0
"ATP5ME" 0 0 0 0 0 0 0 0
"MYL5" 0 0 0 0 0 0 0 0
"SLC49A3" 0 0 0 0 0 0 0 0
"PCGF3" 0 0 0 0 0 0 0 0
"PCGF3-AS1" 0 0 0 0 0 0 0 0
"CPLX1" 0 1 0 0 0 0 0 0
"GAK" 0 1 0 0 0 0 0 0
"TMEM175" 0 1 0 0 0 0 0 0
"DGKQ" 0 1 0 0 0 0 0 0
"SLC26A1" 0 1 0 0 0 0 0 0
"IDUA" 0 1 0 0 0 0 0 0
"FGFRL1" 0 1 0 0 0 0 0 0
"RNF212" 0 1 0 0 0 0 0 0
"SPON2" 0 1 0 0 0 0 0 0
"CTBP1-AS" 0 1 0 0 0 0 0 0
"CTBP1" 0 1 0 0 0 0 0 0
"CTBP1-DT" 0 1 0 0 0 0 0 0
"MAEA" 0 1 0 0 0 0 0 0
"UVSSA" 0 1 0 0 0 0 0 0
"FAM53A" 0 0 0 0 0 0 0 0
"SLBP" 0 0 0 0 0 0 0 0
"TACC3" 0 0 0 0 0 0 0 0
"TMEM129" 0 0 0 0 0 0 0 0
"FGFR3" 0 0 0 0 0 0 0 0
"LETM1" 0 0 0 0 0 0 0 0
"NSD2" 0 0 0 0 0 0 0 0
"NELFA" 0 0 0 0 0 0 0 0
"MIR943" 0 0 0 0 0 0 0 0
"C4orf48" 0 0 0 0 0 0 0 0
"NAT8L" 0 0 0 0 0 0 0 0
"POLN" 0 0 0 0 0 0 0 0
"HAUS3" 0 0 0 0 0 0 0 0
"COX6B1P5" 0 0 0 0 0 0 0 0
"MXD4" 0 0 0 0 0 0 0 0
"ZFYVE28" 0 0 0 0 0 0 0 0
"CFAP99" 0 0 0 0 0 0 0 0
"RNF4" 0 0 0 0 0 0 0 0
"FAM193A" 0 0 0 0 0 0 0 0
"TNIP2" 0 0 0 0 0 0 0 0
"SH3BP2" 0 0 0 0 0 0 0 0
"ADD1" 0 0 0 0 0 0 0 0
"MFSD10" 0 0 0 0 0 0 0 0
"NOP14-AS1" 0 0 0 0 0 0 0 0
"NOP14" 0 0 0 0 0 0 0 0
"GRK4" 0 0 0 0 0 0 0 0
"HTT" 0 0 0 0 0 0 0 0
"HTT-AS" 0 0 0 0 0 0 0 0
"MSANTD1" 0 0 0 0 0 0 0 0
"RGS12" 0 0 0 0 0 0 0 0
"HGFAC" 0 0 0 0 0 0 0 0
"DOK7" 0 0 0 0 0 0 0 0
"LRPAP1" 0 0 0 0 0 0 0 0
"LINC02600" 0 0 0 0 0 0 0 0
"ADRA2C" 0 0 0 0 0 0 0 0
"EVA1CP2" 0 0 0 0 0 0 0 0
"ALG1L7P" 0 0 0 0 0 0 0 0
"FAM86EP" 0 0 0 0 0 0 0 0
"ENPP7P9" 0 0 0 0 0 0 0 0
"RPS3AP16" 0 0 0 0 0 0 0 0
"TMEM128" 0 0 0 0 0 0 0 0
"LYAR" 0 0 0 0 0 0 0 0
"ZBTB49" 0 0 0 0 0 0 0 0
"NSG1" 0 0 0 0 0 0 0 0
"STX18" 0 0 0 0 0 0 0 0
"STX18-AS1" 0 0 0 0 0 0 0 0
"MSX1" 0 0 0 0 0 0 0 0
"CYTL1" 0 0 0 0 0 0 0 0
"STK32B" 0 0 0 0 0 0 0 0
"RN7SKP275" 0 0 0 0 0 0 0 0
"EVC2" 0 0 0 0 0 0 0 0
"EVC" 0 0 0 0 0 0 0 0
"CRMP1" 0 0 0 0 0 0 0 0
"C4orf50" 0 0 0 0 0 0 0 0
"JAKMIP1" 0 0 0 0 0 0 0 0
"WFS1" 0 0 0 0 0 0 0 0
"PPP2R2C" 0 0 0 0 0 0 0 0
"MAN2B2" 0 0 0 0 0 0 0 0
"MRFAP1" 0 0 0 0 0 0 0 0
"LINC02482" 0 0 0 0 0 0 0 0
"LINC02481" 0 0 0 0 0 0 0 0
"S100P" 0 0 0 0 0 0 0 0
"MRFAP1L1" 0 0 0 0 0 0 0 0
"BLOC1S4" 0 0 0 0 0 0 0 0
"KIAA0232" 0 0 0 0 0 0 0 0
"TBC1D14" 0 0 0 0 0 0 0 0
"CCDC96" 0 0 0 0 0 0 0 0
"TADA2B" 0 0 0 0 0 0 0 0
"GRPEL1" 0 0 0 0 0 0 0 0
"LINC02447" 0 0 0 0 0 0 0 0
"SORCS2" 0 0 0 0 0 0 0 0
"PSAPL1" 0 0 0 0 0 0 0 0
"AFAP1-AS1" 0 0 0 0 0 0 0 0
"AFAP1" 0 0 0 0 0 0 0 0
"ABLIM2" 0 0 0 0 0 0 0 0
"GMPSP1" 0 0 0 0 0 0 0 0
"SH3TC1" 0 0 0 0 0 0 0 0
"HTRA3" 0 0 0 0 0 0 0 0
"ACOX3" 0 0 0 0 0 0 0 0
"TRMT44" 0 0 0 0 0 0 0 0
"GPR78" 0 0 0 0 0 0 0 0
"CPZ" 0 0 0 0 0 0 0 0
"ENPP7P10" 0 0 0 0 0 0 0 0
"FAM86KP" 0 0 0 0 0 0 0 0
"ENPP7P11" 0 0 0 0 0 0 0 0
"SLC2A9" 0 0 0 0 0 0 0 0
"DRD5" 0 0 0 0 0 0 0 0
"SLC2A9-AS1" 0 0 0 0 0 0 0 0
"WDR1" 0 0 0 0 0 0 0 0
"MIR3138" 0 0 0 0 0 0 0 0
"RNA5SP155" 0 0 0 0 0 0 0 0
"ZNF518B" 0 0 0 0 0 0 0 0
"CLNK" 0 0 0 0 0 0 0 0
"RNPS1P1" 0 0 0 0 0 0 0 0
"HS3ST1" 0 0 0 0 0 0 0 0
"HSP90AB2P" 0 0 0 0 0 0 0 0
"RAB28" 0 0 0 0 0 0 0 0
"NKX3-2" 0 0 0 0 0 0 0 0
"BOD1L1" 0 0 0 0 0 0 0 0
"LINC00504" 0 0 0 0 0 0 0 0
"CPEB2-DT" 0 0 0 0 0 0 0 0
"CPEB2" 0 0 0 0 0 0 0 0
"C1QTNF7-AS1" 0 0 0 0 0 0 0 0
"C1QTNF7" 0 0 0 0 0 0 0 0
"CC2D2A" 0 0 0 0 0 0 0 0
"FBXL5" 0 0 0 0 0 0 0 0
"FAM200B" 0 0 0 0 0 0 0 0
"BST1" 0 0 0 0 0 0 0 0
"CD38" 0 0 0 0 0 0 0 0
"FGFBP1" 0 0 0 0 0 0 0 0
"FGFBP2" 0 0 0 0 0 0 0 0
"PROM1" 0 0 0 0 0 0 0 0
"TAPT1" 0 0 0 -1 0 0 0 0
"TAPT1-AS1" 0 0 0 -1 0 0 0 0
"RPS21P4" 0 0 0 -1 0 0 0 0
"LDB2" 0 0 0 -1 0 0 0 0
"QDPR" 0 0 0 -1 0 0 0 0
"LAP3" 0 0 0 -1 0 0 0 0
"MED28-DT" 0 0 0 -1 0 0 0 0
"MED28" 0 0 0 -1 0 0 0 0
"FAM184B" 0 0 0 -1 0 0 0 0
"DCAF16" 0 0 0 -1 0 0 0 0
"NCAPG" 0 0 0 -1 0 0 0 0
"LCORL" 0 0 0 -1 0 0 0 0
"KRT18P63" 0 0 0 -1 0 0 0 0
"RPL21P46" 0 0 0 -1 0 0 0 0
"SLIT2" 0 0 0 -1 0 0 0 0
"PACRGL" 0 0 0 -1 0 0 0 0
"KCNIP4" 0 0 0 -1 0 0 0 0
"ADGRA3" 0 0 0 0 0 0 0 0
"GBA3" 0 0 0 0 0 0 0 0
"CDC42P6" 0 0 0 0 0 0 0 0
"PPARGC1A" 0 0 0 0 0 0 0 0
"DHX15" 0 0 0 0 0 0 0 0
"MIR573" 0 0 0 0 0 0 0 0
"LINC02473" 0 0 0 0 0 0 0 0
"SOD3" 0 0 0 0 0 0 0 0
"CCDC149" 0 0 0 0 0 0 0 0
"LGI2" 0 0 0 0 0 0 0 0
"SEPSECS" 0 0 0 0 0 0 0 0
"SEPSECS-AS1" 0 0 0 0 0 0 0 0
"PI4K2B" 0 0 0 0 0 0 0 0
"ZCCHC4" 0 0 0 0 0 0 0 0
"ANAPC4" 0 0 0 0 0 0 0 0
"SLC34A2" 0 0 0 0 0 0 0 0
"RPS29P11" 0 0 0 0 0 0 0 0
"MTND4P9" 0 0 0 0 0 0 0 0
"SEL1L3" 0 0 0 0 0 0 0 0
"SMIM20" 0 0 0 0 0 0 0 0
"RBPJ" 0 0 0 0 0 0 0 0
"TBC1D19" 0 0 0 0 0 0 0 0
"STIM2" 0 0 0 0 0 0 0 0
"STIM2-AS1" 0 0 0 0 0 0 0 0
"PCDH7" 0 0 0 0 0 0 0 0
"ARAP2" 0 0 0 0 0 0 0 0
"DTHD1" 0 0 0 0 0 0 0 0
"C4orf19" 0 0 0 0 0 0 0 0
"RELL1" 0 0 0 0 0 0 0 0
"PGM2" 0 0 0 0 0 0 0 0
"TBC1D1" 0 0 0 0 0 0 0 0
"PTTG2" 0 0 0 0 0 0 0 0
"KLF3-AS1" 0 0 0 0 0 0 0 0
"KLF3" 0 0 0 0 0 0 0 0
"TLR10" 0 0 0 0 0 0 0 0
"TLR1" 0 0 0 0 0 0 0 0
"TLR6" 0 0 0 0 0 0 0 0
"FAM114A1" 0 0 0 0 0 0 0 0
"TMEM156" 0 0 0 0 0 0 0 0
"KLHL5" 0 0 0 0 0 0 0 0
"WDR19" 0 0 0 0 0 0 0 0
"RFC1" 0 0 0 0 0 0 0 0
"KLB" 0 0 0 0 0 0 0 0
"RPL9" 0 0 0 0 0 0 0 0
"LIAS" 0 0 0 0 0 0 0 0
"UGDH" 0 0 0 0 0 0 0 0
"UGDH-AS1" 0 0 0 0 0 0 0 0
"SMIM14" 0 0 0 0 0 0 0 0
"SMIM14-DT" 0 0 0 0 0 0 0 0
"UBE2K" 0 0 0 0 0 0 0 0
"RN7SL558P" 0 0 0 0 0 0 0 0
"ZBTB12BP" 0 0 0 0 0 0 0 0
"PDS5A" 0 0 0 0 0 0 0 0
"PABPC1P1" 0 0 0 0 0 0 0 0
"KRT18P25" 0 0 0 0 0 0 0 0
"N4BP2" 0 0 0 0 0 0 0 0
"RHOH" 0 0 0 0 0 0 0 0
"LINC02265" 0 0 0 0 0 0 0 0
"CHRNA9" 0 0 0 0 0 0 0 0
"RBM47" 0 0 0 0 0 0 0 0
"NSUN7" 0 0 0 0 0 0 0 0
"ARL4AP2" 0 0 0 0 0 0 0 0
"APBB2" 0 0 0 0 0 0 0 0
"UCHL1" 0 0 0 0 0 0 0 0
"LIMCH1" 0 0 0 0 0 0 0 0
"PHOX2B" 0 0 0 0 0 0 0 0
