219
0	358	0
744	852	359
1352	2540	468
0	47	0
169	217	48
603	687	97
965	1042	182
1211	1364	260
1443	1660	414
0	97	0
601	634	98
1392	1543	132
2203	2361	284
2454	2651	443
2829	2964	641
3202	3338	777
3511	3657	914
3864	3962	1061
10334	10487	1160
15130	15166	1314
0	67	0
0	485	0
1010	1113	486
1422	1543	590
0	400	0
709	842	401
0	137	0
0	620	0
723	927	621
1167	1527	826
0	236	0
476	828	237
0	839	0
0	55	0
1102	1258	56
5318	6518	213
0	938	0
0	14	0
101	154	15
3618	6166	69
0	2334	0
2796	2945	2335
23405	23509	2485
31480	31637	2590
0	499	0
736	1554	500
0	10	0
20470	20574	11
28491	28702	116
36825	36987	328
0	404	0
1747	1851	405
18102	18220	510
0	144	0
149	207	145
8330	8498	204
12649	12998	373
0	142	0
4293	4485	143
0	3811	0
0	754	0
0	283	0
0	57	0
285	549	58
0	1537	0
4912	8233	1538
0	203	0
3578	3701	204
3834	4023	328
0	123	0
9381	9445	124
17877	18405	189
19498	19556	718
21714	21779	777
22663	22878	843
26171	26302	1059
27367	27476	1191
0	103	0
0	244	0
868	1079	245
0	451	0
2468	2674	452
3558	3719	659
0	53	0
2211	2276	54
2721	2878	120
0	1036	0
1920	2111	1037
0	50	0
436	520	51
798	875	136
1044	1205	214
1285	1478	376
0	133	0
274	342	134
1100	1252	203
1912	2070	356
2159	2360	515
2538	2673	717
2913	3049	853
3222	3367	990
3574	3685	1136
10046	10194	1248
0	67	0
0	1161	0
6740	6869	1162
0	1112	0
3637	3721	1113
9390	10291	1198
10754	10903	2100
0	881	0
98541	99442	882
99905	100039	1784
101201	101537	1919
0	501	0
8779	9680	502
10143	10292	1404
0	456	0
0	5189	0
5652	5801	5190
26251	26355	5340
34330	34487	5445
0	201	0
1267	1800	202
0	384	0
0	72	0
6314	6847	73
0	85	0
6299	6638	86
0	111	0
5114	5995	112
0	303	0
630	762	304
0	297	0
2856	3055	298
0	77	0
7529	7708	78
14154	14357	258
0	141	0
6587	6688	142
111858	112026	244
0	362	0
0	938	0
0	581	0
8676	8844	582
20745	20895	751
0	376	0
10160	10217	377
10445	10644	435
0	182	0
0	142	0
4295	4487	143
0	2286	0
2616	2805	2287
0	764	0
1543	2016	765
0	204	0
1882	2223	205
0	434	0
528	585	435
2645	2835	493
7092	7156	684
8001	8044	749
0	423	0
517	574	424
802	893	482
0	287	0
381	438	288
4073	4564	346
0	127	0
221	278	128
2338	2528	186
3628	3685	377
3913	4205	435
0	165	0
939	1171	166
1265	1322	399
0	23	0
868	1100	24
1194	1251	257
4351	4415	315
4982	5038	380
5260	5393	437
0	89	0
1189	1246	90
4346	4410	148
5255	5663	213
0	59	0
807	1065	60
1159	1216	319
1444	1762	377
0	54	0
828	1060	55
1154	1211	288
4311	4375	346
5220	5353	411
0	24	0
1124	1701	25
0	24	0
118	175	25
403	894	83
0	385	0
2572	2623	386
0	32	0
1274	1367	33
3392	3515	127
12771	12835	251
15597	15664	316
0	16	0
861	1057	17
3376	3499	214
12755	12819	338
15552	15621	403
0	463	0
9889	9943	464
0	238	0
9494	9558	239
12320	12401	304
17994	18063	386
